Epxt,RSW1 1c,,Concentration,,Neat,,,,
No. Test Runs :,1,,,,,,,,
Temp Mode :,ISOTHERMAL 25.0 ¡C,,,,CP 110,,,,
Thermal Equilibrium Time :,0.00 s,,,,,,,,
Pre-Shear :,OFF,,,,,,,,
Shear mode :,Controlled Rate,,,,,,,,
Sweep Type :,RAMP,Range :,LINEAR,,,,,,
Start Shear :,0.00075 1/s,End Shear :,50.000 1/s,Ramp Dir :,Up,,,,
Sweep Time :,250 s,No. Samples :,50,Yield Analysis :,OFF,,,,
Thixotropic Analysis :,OFF,,,,,,,,
Data,Integration,2.5 s,Delay,2.5 s,,,,,
Notes,,,,,,,,,
,Viscometry Tests,,,,,Viscometry Data,,,
,Shear Rate 1/s,Shear Stress Pa,Viscosity Pas,Normal Force N1 Pa,Notes,,,,
,0.0007725,2.255,2.92E+03,-66.58,,1st Phase,worked from highest point,,
,0.0009342,3.861,4.13E+03,-4.91E+01,,,Rate,Stress,Visc
,0.001152,5.687,4.94E+03,-34.04,,Yield Point,,,
,0.001424,7.76,5.45E+03,4.78E+01,,Viscosity,5891.1,,
,0.001855,10.01,5.40E+03,-6.21E+01,,Stress,,,
,0.002305,13.55,5.88E+03,-40.8,,2nd Phase (0.1329 1/s onwards),,,
,0.002844,17.15,6.03E+03,-153.9,,Viscosity,-0.4266,,
,0.003663,21.36,5.83E+03,-282.9,,Stress,,,
,0.004562,27.27,5.98E+03,-3.33E+02,,,,,
,0.005716,33.49,5.86E+03,-468.3,,,,,
,0.007207,40.87,5.67E+03,-5.86E+02,,G' G'' Frequency Sweep,,,
,0.009054,50.59,5.59E+03,-709.4,,Angular Frequency rad/s,Elastic Modulus Pa,Viscous Modulus Pa,Notes
,0.01131,61.75,5.46E+03,-645.8,,628.3,9.52E+04,6.61E+04,4
,0.01431,7.59E+01,5.31E+03,-8.90E+02,,444.8,3.49E+04,2.53E+04,4
,0.01786,9.28E+01,5.20E+03,-847.8,,314.9,3.54E+04,1.28E+03,4
,0.02236,1.15E+02,5.15E+03,-821.8,,222.9,1.01E+04,1.81E+03,4
,0.0281,1.42E+02,5.04E+03,-728.4,,157.8,9.12E+03,2.86E+03,4
,0.0352,1.72E+02,4.89E+03,-673.3,,111.7,8.07E+03,2.26E+03,4
,0.0442,2.11E+02,4.77E+03,-705.6,,79.1,7.00E+03,2.75E+03
,0.05541,2.54E+02,4.59E+03,-595,,56,6.41E+03,2.93E+03
,0.06954,2.95E+02,4.24E+03,-298.6,,39.64,5.41E+03,2.74E+03
,0.08721,3.43E+02,3.94E+03,1.14E+02,,28.07,4.88E+03,2.90E+03
,0.1094,3.99E+02,3.65E+03,5.21E+02,,19.87,4.43E+03,2.66E+03
,0.1372,4.60E+02,3.35E+03,8.81E+02,,14.07,3.60E+03,2.61E+03
,0.1722,5.27E+02,3.06E+03,1.33E+03,,9.958,3.09E+03,2.46E+03
,0.216,6.06E+02,2.80E+03,1.96E+03,,7.05,2.53E+03,2.32E+03
,0.2708,6.91E+02,2.55E+03,2.59E+03,,4.991,2.10E+03,1.98E+03
,0.3397,7.83E+02,2.30E+03,3.33E+03,,3.533,1.76E+03,1.66E+03
,0.4261,8.87E+02,2.08E+03,4.01E+03,,2.501,1.24E+03,1.55E+03
,0.5349,1.01E+03,1.88E+03,4.68E+03,,1.771,1.07E+03,1.21E+03
,0.6706,1.13E+03,1.68E+03,5.46E+03,,1.254,8.35E+02,9.70E+02
,0.8415,1.27E+03,1.50E+03,6.50E+03,,0.8875,6.57E+02,8.29E+02
,1.055,1.41E+03,1.34E+03,7.59E+03,,0.6283,5.72E+02,6.64E+02
,1.324,1.58E+03,1.20E+03,8.44E+03,,,G' Plateau av,G' at 0.1hz
,1.661,1.77E+03,1.07E+03,9.58E+03,,,1.01E+04,5.72E+02,
,2.083,1.97E+03,9.45E+02,1.07E+04,,Crossover Point,,,
,2.614,2.20E+03,8.43E+02,1.24E+04,,,,,
,3.278,2.49E+03,760.4,1.52E+04,,Amp Sweep Data,,,
,4.113,2.88E+03,700.9,1.89E+04,,100hz,MAV,SD,SD%
,5.159,3.31E+03,640.8,2.39E+04,,G',,,
,6.471,3.93E+03,607.4,3.08E+04,,G'',,,
,8.119,4.77E+03,587.3,3.71E+04,,50 hz,,,
,10.18,5.58E+03,548.1,4.40E+04,,G',,,
,12.77,6.36E+03,497.7,5.67E+04,,G'',,,
,16.03,7.07E+03,440.9,7.43E+04,,10hz,,,
,20.1,8.02E+03,398.7,1.01E+05,,G',,,
,25.21,4.47E+03,177.2,4.70E+04,,G'',,,
,31.63,6.02E+03,190.2,1.03E+05,,1hz,,,
,39.66,9.22E+03,232.6,1.94E+05,,G',,,
,49.71,2.47E+04,496.4,2.26E+05,,G'',,,
